rowid;sy_snum;sy_pnum;disc_year;pl_ntranspec;st_nrvc;st_nspec;pl_nespec;st_nphot;ra;dec;glon;elon;glat;elat;st_mass;pl_radelim;pl_rade;pl_radj;pl_radjlim;sy_dist;pl_bmasse;pl_bmassj;pl_bmasselim;pl_bmassjlim;pl_denslim;pl_dens;sy_disterr2;sy_disterr1;pl_nnotes;sy_kmag;st_teff;st_tefflim;sy_vmag;sy_hmag;sy_tmag;sy_vmagerr1;sy_tmagerr1;sy_tmagerr2;sy_pmdec;sy_pm;sy_pmra;sy_vmagerr2;st_lum;sy_pmdecerr1;sy_pmerr1;sy_pmraerr1;sy_jmag;st_rad;sy_hmagerr2;sy_hmagerr1;st_logg;st_logglim;pl_orbper;pl_orbperlim;sy_pmraerr2;sy_pmdecerr2;sy_pmerr2;sy_kmagerr1;sy_jmagerr2;sy_jmagerr1;sy_kmagerr2;sy_gaiamag;sy_gaiamagerr2;sy_gaiamagerr1;st_masserr1;pl_orbsmaxlim;pl_orbsmax;st_masserr2;sy_plxerr2;sy_plx;sy_plxerr1;sy_bmag;sy_bmagerr1;sy_bmagerr2;st_tefferr1;st_raderr1;st_tefferr2;st_raderr2;st_loggerr1;st_loggerr2;st_met;st_metlim;sy_w2mag;sy_w3mag;sy_w4mag;sy_w1mag;st_dens;sy_w2magerr1;sy_w1magerr1;st_denserr1;st_denserr2;pl_orbpererr1;pl_orbpererr2;st_meterr2;st_meterr1;pl_orbeccenlim;pl_orbeccen;sy_w2magerr2;sy_w1magerr2
81;1;1;2021;0;0;0;0;0;117,300914;-76,702696;288,915880;242,141500;-23,123130;-76,952520;0,370000;0,000000;12,442000;1,110000;0,000000;10,886400;2002,318960;6,300000;0,000000;0,000000;0,000000;5,710000;-0,004200;0,004100;2,000000;6,579000;3406,000000;0,000000;11,298000;6,862000;8,944880;0,027000;0,007670;-0,007670;-193,265000;218,528598;-101,997000;-0,027000;-1,732000;0,068379;0,066769;0,060637;7,406000;0,390000;-0,031000;0,031000;4,830000;0,000000;402000000,000000;0,000000;-0,060637;-0,068379;-0,066769;0,018000;-0,021000;0,021000;-0,018000;10,146000;-0,001567;0,001567;0,020000;0,000000;7506,000000;-0,020000;-0,034483;91,829100;0,034483;12,983000;0,231000;-0,231000;69,000000;0,010000;-69,000000;-0,010000;0,030000;-0,030000;0,000000;0,000000;6,244000;6,219000;6,074000;6,490000;9,138950;0,027000;0,081000;0,322090;-0,322090;470000000,000000;-100000000,000000;-0,080000;0,080000;nan;nan;-0,027000;-0,081000
82;1;1;2007;0;0;0;0;0;166,037504;-76,455369;296,653590;235,834230;-14,909290;-66,126790;nan;0,000000;24,660000;2,200000;0,000000;190,720000;5403,000000;17,000000;0,000000;0,000000;0,000000;1,980000;-0,771000;0,778000;0,000000;8,661000;4403,000000;0,000000;12,335000;8,944000;10,936300;0,069000;0,007600;-0,007600;-0,174998;22,209589;-22,208900;-0,069000;-0,102000;0,035294;0,038820;0,038820;9,715000;1,680000;-0,047000;0,047000;3,660000;0,000000;nan;nan;-0,038820;-0,035294;-0,038820;0,021000;-0,024000;0,024000;-0,021000;11,773300;-0,004701;0,004701;nan;0,000000;440,000000;nan;-0,021134;5,214440;0,021134;13,799000;0,012000;-0,012000;6,000000;0,100000;-10,000000;-0,160000;0,010000;-0,010000;-0,560000;0,000000;7,067000;4,859000;2,729000;7,898000;nan;0,020000;0,023000;nan;nan;nan;nan;-0,010000;0,010000;nan;nan;-0,020000;-0,023000
83;1;1;2008;20;1;0;5;6;102,079859;-3,102139;215,338820;103,437950;-2,107120;-25,979500;0,950000;0,000000;16,700000;1,490000;0,000000;787,909000;327,350000;1,030000;0,000000;0,000000;0,000000;0,380000;-23,491000;23,491000;0,000000;12,149000;5950,000000;0,000000;13,623000;12,218000;13,050100;0,114000;0,016500;-0,016500;0,547130;6,039454;-6,014620;-0,114000;0,298000;0,041423;0,047113;0,047157;12,462000;1,110000;-0,026000;0,026000;4,250000;0,000000;1,508956;0,000000;-0,047157;-0,041423;-0,047113;0,027000;-0,029000;0,029000;-0,027000;13,457000;-0,000477;0,000477;0,150000;0,000000;0,027520;-0,150000;-0,037513;1,241760;0,037513;14,158000;0,053000;-0,053000;150,000000;0,050000;-150,000000;-0,050000;0,300000;-0,300000;-0,300000;0,000000;12,136000;12,290000;9,091000;12,098000;0,930000;0,023000;0,023000;0,027000;-0,027000;0,000006;-0,000006;-0,250000;0,250000;0,000000;0,000000;-0,023000;-0,023000
84;1;1;2010;0;0;0;0;0;291,063681;0,746014;37,360690;292,895990;-6,952990;22,526600;0,890000;0,000000;10,870000;0,970000;0,000000;338,386000;874,000000;2,750000;0,000000;0,000000;0,000000;3,700000;-3,986500;3,986500;0,000000;11,782000;5075,000000;0,000000;15,293000;11,929000;13,821500;0,137000;0,006000;-0,006000;-22,735000;22,958590;-3,196350;-0,137000;-0,726000;0,054149;0,054470;0,068782;12,527000;0,790000;-0,028000;0,028000;4,650000;0,000000;13,240600;0,000000;-0,068782;-0,054149;-0,054470;0,021000;-0,025000;0,025000;-0,021000;14,664500;-0,000329;0,000329;0,050000;0,000000;0,105500;-0,050000;-0,034547;2,926940;0,034547;17,344000;0,166000;-0,166000;75,000000;0,050000;-75,000000;-0,050000;0,100000;-0,100000;0,260000;0,000000;11,752000;11,396000;8,923000;11,640000;3,320000;0,023000;0,022000;0,700000;-0,700000;0,000200;-0,000200;-0,070000;0,070000;0,000000;0,530000;-0,023000;-0,022000
85;1;1;2010;0;0;0;0;0;280,687300;5,937659;37,240090;282,162260;4,630050;28,926690;1,270000;0,000000;16,030000;1,430000;0,000000;655,037000;740,510000;2,330000;0,000000;0,000000;0,000000;0,990000;-23,209000;24,947000;0,000000;11,248000;6440,000000;0,000000;12,897000;11,416000;12,419000;0,114000;0,021600;-0,021600;-5,241750;5,581887;1,918730;-0,114000;0,378000;0,077258;0,076489;0,070486;11,589000;1,370000;-0,029000;0,029000;4,220000;0,000000;2,994330;0,000000;-0,070486;-0,077258;-0,076489;0,022000;-0,021000;0,021000;-0,022000;12,841000;-0,000336;0,000336;0,050000;0,000000;0,043600;-0,050000;-0,055590;1,500710;0,055590;13,529000;0,029000;-0,029000;120,000000;0,030000;-120,000000;-0,030000;0,230000;-0,230000;-0,030000;0,000000;11,265000;11,470000;9,198000;11,173000;0,690000;0,021000;0,022000;0,020000;-0,020000;0,000011;-0,000011;-0,080000;0,080000;0,000000;0,000000;-0,021000;-0,022000
86;1;1;2010;0;0;0;0;0;100,765687;-1,296444;213,131550;101,823090;-2,454410;-24,294950;1,080000;0,000000;16,140000;1,440000;0,000000;1126,370000;291,438000;0,917000;0,000000;0,000000;0,000000;0,411000;-55,745000;55,745000;0,000000;13,557000;5675,000000;0,000000;15,588000;13,630000;14,797100;0,183000;0,014300;-0,014300;-3,474920;3,865921;1,694190;-0,183000;0,070000;0,067771;0,067518;0,066446;14,024000;1,120000;-0,031000;0,031000;4,380000;0,000000;2,828042;0,000000;-0,066446;-0,067771;-0,067518;0,042000;-0,032000;0,032000;-0,042000;15,345300;-0,000770;0,000770;0,080000;0,000000;0,040160;-0,070000;-0,042792;0,861234;0,042792;16,408000;0,056000;-0,056000;80,000000;0,100000;-80,000000;-0,090000;0,070000;-0,060000;0,160000;0,000000;13,470000;12,530000;8,610000;13,470000;1,080000;0,033000;0,025000;0,280000;-0,210000;0,000013;-0,000013;-0,100000;0,100000;0,000000;0,070000;-0,033000;-0,025000
87;1;1;2010;0;0;0;0;0;102,721143;-5,086456;217,398600;104,369350;-2,439660;-27,893390;1,090000;0,000000;9,920000;0,885000;0,000000;1148,930000;415,704000;1,308000;0,000000;0,000000;0,000000;2,340000;-56,150000;62,120000;0,000000;13,376000;5945,000000;0,000000;15,005000;13,406000;14,426600;0,297000;0,009000;-0,009000;-3,256930;3,645053;1,636710;-0,297000;0,073000;0,070055;0,068535;0,062153;13,710000;1,010000;-0,029000;0,029000;4,460000;0,000000;4,035190;0,000000;-0,062153;-0,070055;-0,068535;0,039000;-0,024000;0,024000;-0,039000;14,914700;-0,000500;0,000500;0,020000;0,000000;0,051000;-0,020000;-0,043623;0,843947;0,043623;15,210000;0,108000;-0,108000;90,000000;0,030000;-90,000000;-0,030000;0,050000;-0,050000;0,010000;0,000000;13,217000;12,615000;8,946000;13,170000;1,468000;0,030000;0,025000;0,131000;-0,131000;0,000030;-0,000030;-0,070000;0,070000;0,000000;0,000000;-0,030000;-0,025000
88;1;1;2010;0;0;0;0;0;103,424202;-5,536039;218,117870;105,210630;-2,020590;-28,269240;1,130000;0,000000;12,220000;1,090000;0,000000;1744,600000;2415,400000;7,600000;0,000000;0,000000;0,000000;7,300000;-144,900000;173,030000;0,000000;13,806000;6035,000000;0,000000;15,932000;14,007000;15,213500;0,206000;0,013500;-0,013500;-3,601550;3,603503;-0,118627;-0,206000;0,119000;0,074563;0,074573;0,083676;14,321000;1,210000;-0,047000;0,047000;4,350000;0,000000;1,512140;0,000000;-0,083676;-0,074563;-0,074573;0,053000;-0,036000;0,036000;-0,053000;15,811600;-0,000769;0,000769;0,090000;0,000000;0,027000;-0,090000;-0,049915;0,547358;0,049915;17,011000;0,160000;-0,160000;100,000000;0,080000;-100,000000;-0,080000;0,150000;-0,150000;0,050000;0,000000;13,729000;12,030000;9,140000;13,679000;0,910000;0,039000;0,025000;0,170000;-0,170000;0,000130;-0,000130;-0,150000;0,150000;0,000000;0,000000;-0,039000;-0,025000
89;1;1;2011;0;2;0;0;0;278,524666;-6,002603;25,614330;278,876360;1,101100;17,174390;1,100000;0,000000;13,110000;1,170000;0,000000;732,409000;170,032000;0,535000;0,000000;0,000000;0,000000;0,440000;-32,282000;35,344000;0,000000;12,847000;5650,000000;0,000000;16,052000;12,980000;14,758700;0,217000;0,015200;-0,015200;-8,043270;8,097611;0,936538;-0,217000;-0,435000;0,103160;0,103595;0,131781;13,496000;1,190000;-0,030000;0,030000;4,360000;0,000000;5,352270;0,000000;-0,131781;-0,103160;-0,103595;0,037000;-0,029000;0,029000;-0,037000;15,650700;-0,000998;0,000998;0,080000;0,000000;0,061800;-0,080000;-0,062379;1,340560;0,062379;17,417000;0,103000;-0,103000;100,000000;0,140000;-100,000000;-0,130000;0,100000;-0,100000;0,190000;0,000000;nan;nan;nan;nan;0,930000;nan;nan;0,330000;-0,240000;0,000200;-0,000200;-0,060000;0,060000;0,000000;0,330000;nan;nan
90;1;1;2011;0;0;0;0;0;278,699236;-6,612288;25,152990;279,017670;0,666310;16,555090;1,040000;0,000000;11,430000;1,020000;0,000000;1176,120000;772,290000;2,430000;0,000000;0,000000;0,000000;2,820000;-52,190000;57,170000;0,000000;12,472000;5740,000000;0,000000;16,290000;12,615000;14,475600;0,320000;0,010000;-0,010000;-8,050280;9,242744;-4,541070;-0,320000;0,134000;0,067573;0,068854;0,072733;13,174000;1,590000;-0,063000;0,063000;4,400000;0,000000;3,768100;0,000000;-0,072733;-0,067573;-0,068854;0,054000;-0,038000;0,038000;-0,054000;15,436800;-0,000524;0,000524;0,100000;0,000000;0,046100;-0,100000;-0,039142;0,823380;0,039142;17,590000;0,184000;-0,184000;80,000000;0,070000;-80,000000;-0,070000;0,100000;-0,100000;0,000000;0,000000;nan;nan;nan;nan;0,320000;nan;nan;0,030000;-0,030000;0,000300;-0,000300;-0,100000;0,100000;0,000000;0,000000;nan;nan
